Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
416844bf1c513da8724e704b02c7e1d6be841039544a15b077a38335455158e1,2024-02,City of London Police,City of London Police,-0.10622,51.518275,On or near B500,E01000916,Camden 027B,Public order,Status update unavailable,
ac9bc2ac343df8a735edb19065331cc9623ffae4d27eb917ae721af996062d32,2024-02,City of London Police,City of London Police,-0.125347,51.51968,On or near Montague Street,E01000855,Camden 028A,Theft from the person,Status update unavailable,
5d9e9d17cfd8a197f963cf3f807a7ef2a4e5f9d33fb3b3b129b173d52f868698,2024-02,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
fff53713dbfb1ef58e234923637e8ab8f8e3c88625be24861c175af5cff25dda,2024-02,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
27fb5b608208fcccf88314093b1fb47ee76e973911311d73c32704cd00b43bf8,2024-02,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
7942524ed1d91f0e43090fa2ebf4e57e601de37d47b45ed9d608097de80ab09b,2024-02,City of London Police,City of London Police,-0.113212,51.516841,On or near Old Square,E01000914,Camden 028B,Vehicle crime,Investigation complete; no suspect identified,
42c8f0a272057f6d5d3f7ba9fd1d417e23783aa9252f1ce5e084ccc479f91002,2024-02,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Other theft,Investigation complete; no suspect identified,
6c9e88e0811083b3c3d79a0a6269858a01a2e5e8a877411efd63680716b3afab,2024-02,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Public order,Unable to prosecute suspect,
63a80995e150411257c91f4fb0a6db3acd4b1914cce0174627297b91f0e299d0,2024-02,City of London Police,City of London Police,-0.097144,51.515062,On or near St Paul'S,E01000001,City of London 001A,Public order,Investigation complete; no suspect identified,
901c252df669361d013962a8c3ded7ac6dde381fd3940d21771710124541efb5,2024-02,City of London Police,City of London Police,-0.096367,51.515355,On or near Foster Lane,E01000001,City of London 001A,Shoplifting,Investigation complete; no suspect identified,
