Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
1618f4c98bbfeb8befab1f04315ce0145788679b4ac50d1800333d8e87756cca,2024-06,Metropolitan Police Service,Metropolitan Police Service,-3.448471,54.708339,On or near Greenlands Road,E01019094,Allerdale 004B,Violence and sexual offences,Unable to prosecute suspect,
2886a4b0b243007500f86fd11075a6630f32addc0d77b23bbcfaa0cfdbaa8502,2024-06,Metropolitan Police Service,Metropolitan Police Service,-0.665384,50.783503,On or near Parking Area,E01031431,Arun 017A,Violence and sexual offences,Investigation complete; no suspect identified,
,2024-06,Metropolitan Police Service,Metropolitan Police Service,0.134947,51.588063,On or near Mead Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
,2024-06,Metropolitan Police Service,Metropolitan Police Service,0.140576,51.583419,On or near Rams Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
,2024-06,Metropolitan Police Service,Metropolitan Police Service,0.134947,51.588063,On or near Mead Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
,2024-06,Metropolitan Police Service,Metropolitan Police Service,0.142112,51.589389,On or near A1112,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
,2024-06,Metropolitan Police Service,Metropolitan Police Service,0.134947,51.588063,On or near Mead Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
,2024-06,Metropolitan Police Service,Metropolitan Police Service,0.140576,51.583419,On or near Rams Grove,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
,2024-06,Metropolitan Police Service,Metropolitan Police Service,0.135924,51.587353,On or near Gibbfield Close,E01000027,Barking and Dagenham 001A,Anti-social behaviour,,
cb5bebe747aca0504dc208652af3ee4f137343211a5bf4fa4a6fcf6b0b3cf4e5,2024-06,Metropolitan Police Service,Metropolitan Police Service,0.145722,51.594296,On or near Providence Place,E01000027,Barking and Dagenham 001A,Burglary,Investigation complete; no suspect identified,
