Crime ID,Month,Reported by,Falls within,Longitude,Latitude,Location,LSOA code,LSOA name,Crime type,Last outcome category,Context
069e2f376970cacf27fdebd3605c8679c36b4b534d9d8e7872f34eec494611d3,2024-08,City of London Police,City of London Police,-0.107682,51.517786,On or near B521,E01000917,Camden 027C,Public order,Awaiting court outcome,
8c688259358e5e17ed437731a6b3e35758d77a76891dc11b4e3a63e0fcd552ff,2024-08,City of London Police,City of London Police,-0.111596,51.518281,On or near Chancery Lane,E01000914,Camden 028B,Shoplifting,Investigation complete; no suspect identified,
5211a4a565d73dd4cbf526d112fde0375d8cb3c20a3d6090d771cbf593cc7b78,2024-08,City of London Police,City of London Police,-0.112096,51.515942,On or near Nightclub,E01000914,Camden 028B,Theft from the person,Investigation complete; no suspect identified,
b60eab510955bd9359d900f502807f4cb9317c6c9326eba615eb0bdce212fcb9,2024-08,City of London Police,City of London Police,-0.097245,51.515387,On or near St Martin'S Le Grand,E01000001,City of London 001A,Criminal damage and arson,Status update unavailable,
750ecac3560cde0297f40009e4f07459f9d846289e2b0b312237928a0964f65e,2024-08,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Drugs,Offender given a drugs possession warning,
c88757da273a9887d2badb07c16ac89b52eedbd3a20c7bc4455e7a5ab6a0c3d8,2024-08,City of London Police,City of London Police,-0.09729,51.521575,On or near Fann Street,E01000001,City of London 001A,Other theft,Court result unavailable,
5441ed9d4c62ec3d078abe1499dfb3eff02ee7fbfa939fb1b9bcea01c8a7cf14,2024-08,City of London Police,City of London Police,-0.096718,51.515511,On or near Conference/Exhibition Centre,E01000001,City of London 001A,Public order,Unable to prosecute suspect,
32b9489f5a20248ec01e6df46932ccd2707326d96ae4e20738c75cce8364f72e,2024-08,City of London Police,City of London Police,-0.097245,51.515387,On or near St Martin'S Le Grand,E01000001,City of London 001A,Shoplifting,Status update unavailable,
4f5e71f2069e02568f33aaa914180a6f205706a8f967a1e2cf5168037a255b05,2024-08,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified,
86f80a084ff4319ab78fdc211d9c84feec0f51c8465876c3a8726785ff4d7ca8,2024-08,City of London Police,City of London Police,-0.098519,51.517332,On or near Little Britain,E01000001,City of London 001A,Theft from the person,Investigation complete; no suspect identified,
