fullAddress,postcode,country,outcode,latitude,longitude,bathrooms,bedrooms,floorAreaSqM,livingRooms,tenure,propertyType,currentEnergyRating,rentEstimate_lowerPrice,rentEstimate_currentPrice,rentEstimate_upperPrice,saleEstimate_lowerPrice,saleEstimate_currentPrice,saleEstimate_upperPrice,saleEstimate_confidenceLevel,saleEstimate_ingestedAt,saleEstimate_valueChange.numericChange,saleEstimate_valueChange.percentageChange,saleEstimate_valueChange.saleDate,history_date,history_price,history_percentageChange,history_numericChange
"Flat 9, 35 Furnival Street, London, EC4A 1JQ",EC4A 1JQ,England,EC4A,51.5172824,-0.1103144,1.0,1.0,45.0,1.0,Leasehold,Purpose Built Flat,,2100.0,2350.0,2600.0,570000.0,600000.0,630000.0,HIGH,2024-10-07T13:26:59.894Z,244000.0,68.53932584269663,2010-03-30,1995-01-02,830000,,
"Flat 6, 35 Furnival Street, London, EC4A 1JQ",EC4A 1JQ,England,EC4A,51.5172824,-0.1103144,,,,,Leasehold,Flat/Maisonette,,2100.0,2350.0,2600.0,540000.0,600000.0,660000.0,MEDIUM,2024-10-07T13:26:59.894Z,425000.0,242.85714285714283,2000-05-26,1995-01-02,830000,,
"Flat 35, Octavia House, Medway Street, London, SW1P 2TA",SW1P 2TA,England,SW1P,51.4955047,-0.1323791,2.0,2.0,71.0,1.0,Leasehold,Flat/Maisonette,C,2650.0,2950.0,3250.0,683000.0,759000.0,834000.0,MEDIUM,2025-01-10T11:04:57.114Z,49000.0,6.901408450704226,2019-09-04,1995-01-03,249950,,
"24 Chester Court, Lomond Grove, London, SE5 7HS",SE5 7HS,England,SE5,51.4781854,-0.0922014,1.0,1.0,64.0,1.0,Leasehold,Flat/Maisonette,D,1850.0,2000.0,2100.0,368000.0,388000.0,407000.0,HIGH,2024-10-07T13:26:59.894Z,28000.0,7.777777777777778,2024-01-25,1995-01-03,32000,,
"18 Alexandra Gardens, London, N10 3RL",N10 3RL,England,N10,51.588774,-0.1395993,1.0,4.0,137.0,2.0,Freehold,End Terrace House,D,4350.0,4850.0,5350.0,1198000.0,1261000.0,1324000.0,HIGH,2024-10-07T13:26:59.894Z,81000.0,6.864406779661017,2022-12-14,1995-01-03,133000,,
"17 Collins Street, London, SE3 0UG",SE3 0UG,England,SE3,51.4660886,0.0069669,1.0,2.0,97.0,1.0,Freehold,Mid Terrace House,D,3150.0,3500.0,3850.0,897000.0,944000.0,991000.0,HIGH,2024-10-07T13:26:59.894Z,119000.0,14.424242424242426,2021-09-30,1995-01-03,128500,,
"14 Theodore Road, London, SE13 6HT",SE13 6HT,England,SE13,51.4513274,-0.0075694,1.0,3.0,135.0,2.0,Freehold,Terrace Property,E,2550.0,2800.0,3050.0,690000.0,726000.0,762000.0,HIGH,2024-10-07T13:26:59.894Z,71000.0,10.839694656488549,2021-12-06,1995-01-03,75000,,
"6 Victoria Square, London, SW1W 0QY",SW1W 0QY,England,SW1W,51.4975146,-0.1451338,1.0,5.0,346.0,,Freehold,Mid Terrace House,D,21100.0,23200.0,25250.0,5723000.0,6024000.0,6325000.0,HIGH,2025-01-10T11:04:57.114Z,524000.0,9.527272727272727,2016-09-27,1995-01-03,100000,,
"61 Chestnut Avenue South, London, E17 9EJ",E17 9EJ,England,E17,51.583106,-0.0021841,1.0,4.0,117.0,2.0,Freehold,Mid Terrace House,D,3350.0,3700.0,4050.0,874000.0,920000.0,966000.0,HIGH,2024-10-07T13:26:59.894Z,65000.0,7.602339181286549,2022-02-10,1995-01-03,47000,,
"18 Alexandra Gardens, London, N10 3RL",N10 3RL,England,N10,51.588774,-0.1395993,1.0,4.0,137.0,2.0,Freehold,End Terrace House,D,4450.0,5000.0,5500.0,1203000.0,1267000.0,1330000.0,HIGH,2025-01-10T11:04:57.114Z,87000.0,7.372881355932204,2022-12-14,1995-01-03,133000,,
