Postcode,In Use?,Latitude,Longitude,Easting,Northing,Grid Ref,County,District,Ward,District Code,Ward Code,Country,County Code,Introduced,Terminated,Parish,National Park,Population,Households,Built up area,Lower layer super output area,Rural/urban,Region,Altitude,London zone,LSOA Code,Local authority,MSOA Code,Middle layer super output area,Parish Code,Census output area,Index of Multiple Deprivation,Quality,User Type,Last updated,Nearest station,Distance to station,Postcode area,Postcode district,Police force,Water company,Plus Code,Average Income,Sewage Company,Travel To Work Area,ITL level 2,ITL level 3,Distance to sea,LSOA21 Code,Lower layer super output area 2021,MSOA21 Code,Middle layer super output area 2021,Census output area 2021,IMD decile,Constituency Code 2024,Constituency Name 2024,Property Type,Roads
BR1 1AA,Yes,51.401546,0.015415,540291,168873,TQ402688,Greater London,Bromley,Bromley Town,E09000006,E05013991,England,E11000009,2016-05-01,,"Bromley, unparished area",,,,Bromley,Bromley 018B,Urban major conurbation,London,71,5,E01000675,,E02000144,Bromley South,E43000196,E00003264,24305,1,0,2025-06-18,Bromley South,0.218254,BR,BR1,Metropolitan Police,Thames Water,9F32C228+J5,69600,,London,Outer London - South,Bromley,28.073,E01034386,Bromley 018G,E02000144,Bromley South,E00182600,8,E14001137,Bromley and Biggin Hill,Flat,Ringer's Road
BR1 1AB,Yes,51.406333,0.015208,540262,169405,TQ402694,Greater London,Bromley,Bromley Town,E09000006,E05013991,England,E11000009,2012-03-01,,"Bromley, unparished area",,,,Bromley,Bromley 008B,Urban major conurbation,London,71,4,E01000676,,E02000134,Bromley North & Sundridge,E43000196,E00003255,13716,1,0,2025-06-18,Bromley North,0.253666,BR,BR1,Metropolitan Police,Thames Water,9F32C248+G3,60000,,London,Outer London - South,Bromley,27.9776,E01000676,Bromley 008B,E02000134,Bromley North & Sundridge,E00003255,5,E14001137,Bromley and Biggin Hill,Flat,"East Street,West Street"
BR1 1AD,No,51.400057,0.016715,540386,168710,TQ403687,Greater London,Bromley,Bromley Town,E09000006,E05013991,England,E11000009,2014-09-01,2017-09-01,"Bromley, unparished area",,,,Bromley,Bromley 018B,Urban major conurbation,London,53,5,E01000675,,E02000144,Bromley South,E43000196,E00003264,24305,1,1,2025-06-18,Bromley South,0.044559,BR,BR1,Metropolitan Police,,9F32C228+2M,69600,,London,Outer London - South,Bromley,28.0211,E01034386,Bromley 018G,E02000144,Bromley South,E00182639,8,E14001137,Bromley and Biggin Hill,,
BR1 1AE,Yes,51.404543,0.014195,540197,169204,TQ401692,Greater London,Bromley,Bromley Town,E09000006,E05013991,England,E11000009,2008-08-01,,"Bromley, unparished area",,34.0,21.0,Bromley,Bromley 018C,Urban major conurbation,London,71,4,E01000677,,E02000144,Bromley South,E43000196,E00003266,20694,1,0,2025-06-18,Bromley North,0.462939,BR,BR1,Metropolitan Police,Thames Water,9F32C237+RM,69600,,London,Outer London - South,Bromley,28.0861,E01000677,Bromley 018C,E02000144,Bromley South,E00003266,7,E14001137,Bromley and Biggin Hill,Flat,Tetty Way
BR1 1AF,Yes,51.401392,0.014948,540259,168855,TQ402688,Greater London,Bromley,Bromley Town,E09000006,E05013991,England,E11000009,2015-05-01,,"Bromley, unparished area",,,,Bromley,Bromley 018B,Urban major conurbation,London,58,5,E01000675,,E02000144,Bromley South,E43000196,E00003264,24305,1,0,2025-06-18,Bromley South,0.227662,BR,BR1,Metropolitan Police,Thames Water,9F32C227+HX,69600,,London,Outer London - South,Bromley,28.1083,E01034386,Bromley 018G,E02000144,Bromley South,E00182600,8,E14001137,Bromley and Biggin Hill,Flat,Ringer's Road
BR1 1AG,Yes,51.401392,0.014948,540259,168855,TQ402688,Greater London,Bromley,Bromley Town,E09000006,E05013991,England,E11000009,2015-09-01,,"Bromley, unparished area",,,,Bromley,Bromley 018B,Urban major conurbation,London,58,5,E01000675,,E02000144,Bromley South,E43000196,E00003264,24305,1,0,2025-06-18,Bromley South,0.227662,BR,BR1,Metropolitan Police,Thames Water,9F32C227+HX,69600,,London,Outer London - South,Bromley,28.1083,E01034386,Bromley 018G,E02000144,Bromley South,E00182600,8,E14001137,Bromley and Biggin Hill,Flat,Ringer's Road
BR1 1AH,Yes,51.400441,0.01739,540432,168754,TQ404687,Greater London,Bromley,Bromley Town,E09000006,E05013991,England,E11000009,2017-02-01,,"Bromley, unparished area",,,,Bromley,Bromley 018B,Urban major conurbation,London,53,5,E01000675,,E02000144,Bromley South,E43000196,E00003264,24305,1,0,2025-06-18,Bromley South,0.0489027,BR,BR1,Metropolitan Police,Thames Water,9F32C228+5X,69600,,London,Outer London - South,Bromley,27.966,E01034386,Bromley 018G,E02000144,Bromley South,E00182554,8,E14001137,Bromley and Biggin Hill,Flat,High Street
BR1 1AJ,Yes,51.400489,0.018833,540532,168762,TQ405687,Greater London,Bromley,Bromley Town,E09000006,E05013991,England,E11000009,2016-04-01,,"Bromley, unparished area",,,,Bromley,Bromley 018B,Urban major conurbation,London,55,5,E01000675,,E02000144,Bromley South,E43000196,E00003264,24305,1,0,2025-06-18,Bromley South,0.11563,BR,BR1,Metropolitan Police,Thames Water,9F32C229+5G,69600,,London,Outer London - South,Bromley,27.8673,E01034386,Bromley 018G,E02000144,Bromley South,E00182554,8,E14001137,Bromley and Biggin Hill,,"Elmfield Road,Kentish Way"
BR1 1AL,Yes,51.406549,0.01313,540117,169425,TQ401694,Greater London,Bromley,Bromley Town,E09000006,E05013991,England,E11000009,2019-04-01,,"Bromley, unparished area",,,,Bromley,Bromley 008B,Urban major conurbation,London,68,4,E01000676,,E02000134,Bromley North & Sundridge,E43000196,E00003255,13716,1,0,2025-06-18,Bromley North,0.332674,BR,BR1,Metropolitan Police,,9F32C247+J7,60000,,London,Outer London - South,Bromley,28.1142,E01000676,Bromley 008B,E02000134,Bromley North & Sundridge,E00003255,5,E14001137,Bromley and Biggin Hill,,"High Street,Walters Yard"
BR1 1AN,Yes,51.406625,0.017591,540427,169442,TQ404694,Greater London,Bromley,Bromley Town,E09000006,E05013991,England,E11000009,2022-08-01,,"Bromley, unparished area",,,,Bromley,Bromley 018B,Urban major conurbation,London,67,4,E01000675,,E02000144,Bromley South,E43000196,E00003254,24305,1,0,2025-06-18,Bromley North,0.19351,BR,BR1,Metropolitan Police,,9F32C249+M2,69600,,London,Outer London - South,Bromley,27.8093,E01034385,Bromley 018F,E02000144,Bromley South,E00003254,8,E14001137,Bromley and Biggin Hill,,"Courtstreet,South Street"
