Web Link,URN,LAESTAB,School name,Ofsted phase,Type of education,School open date,Admissions policy,Sixth form,Designated religious character,Religious ethos,Faith grouping,Ofsted region,Region,Local authority,Parliamentary constituency,Multi-academy trust UID,Multi-academy trust name,Academy sponsor UID,Academy sponsor name,Postcode,Number of warning notices issued in 2023/24 academic year,The income deprivation affecting children index (IDACI) quintile,Total number of pupils,Statutory lowest age,Statutory highest age,Latest ungraded inspection number since last graded inspection,Does the ungraded inspection relate to the URN of the current school?,URN at time of the ungraded inspection,LAESTAB at time of the ungraded inspection,School name at time of the ungraded inspection,School type at time of the ungraded inspection,Number of ungraded inspections since the last graded inspection,Date of latest ungraded inspection,Ungraded inspection publication date,Did the latest ungraded inspection convert to a graded inspection?,Ungraded inspection overall outcome,Number of monitoring and urgent inspections since last graded inspection,Inspection number of latest graded inspection,Inspection type,Inspection type grouping,Event type grouping,Inspection start date,Publication date,Does the latest graded inspection relate to the URN of the current school?,URN at time of latest graded inspection,LAESTAB at time of latest graded inspection,School name at time of latest graded inspection,School type at time of latest graded inspection,Current school type used for chart C6,Overall effectiveness,Category of concern,Quality of education,Behaviour and attitudes,Personal development,Effectiveness of leadership and management,Safeguarding is effective?,Early years provision (where applicable),Sixth form provision (where applicable),Previous inspection number,Previous inspection start date,Previous publication date,Does the previous graded inspection relate to the URN of the current school?,URN at time of previous graded inspection,LAESTAB at time of previous graded inspection,School name at time of previous graded inspection,School type at time of previous graded inspection,Previous graded inspection overall effectiveness,Previous category of concern,Previous quality of education,Previous behaviour and attitudes,Previous personal development,Previous effectiveness of leadership and management,Previous safeguarding is effective?,Previous early years provision (where applicable),Previous sixth form provision (where applicable)
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/100000,100000,2013614,The Aldgate School,Primary,Voluntary Aided School,,Not applicable,Does not have a sixth form,Church of England,Does not apply,Christian,London,London,City of London,Cities of London and Westminster,,,,,EC3A 5DE,,4.0,244.0,3,11,,,,,,,,,,,,,10323215,S5 Inspection,S5 Inspection,Schools - S5,12/06/2024,11/07/2024,Yes,100000.0,2013614.0,The Aldgate School,Voluntary Aided School,Maintained school,1.0,,1.0,1.0,1.0,1.0,Yes,2.0,9.0,ITS411816,18/04/2013,14/05/2013,Yes,100000.0,2013614.0,The Aldgate School,Voluntary Aided School,1.0,,9.0,9.0,9.0,1.0,9,9.0,9.0
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/100005,100005,2021048,Thomas Coram Centre,Nursery,LA Nursery School,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,London,London,Camden,Holborn and St Pancras,,,,,WC1N 2NY,,3.0,123.0,2,5,10345614.0,Yes,100005.0,2021048.0,Thomas Coram Centre,LA Nursery School,2.0,23/05/2024,26/06/2024,No,School remains Outstanding,,ITS425578,S5 Inspection,S5 Inspection,Schools - S5,05/06/2014,02/07/2014,Yes,100005.0,2021048.0,Thomas Coram Centre,LA Nursery School,Maintained school,1.0,,9.0,9.0,9.0,1.0,9,9.0,9.0,ITS354786,17/01/2011,08/02/2011,Yes,100005.0,2021048.0,Thomas Coram Centre,LA Nursery School,1.0,,9.0,9.0,9.0,1.0,9,1.0,9.0
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/100006,100006,2021100,Heath School,PRU,Pupil Referral Unit,01/09/1999,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,London,London,Camden,Hampstead and Highgate,,,,,NW3 2NY,,3.0,20.0,11,16,,,,,,,,,,,,,10327859,S5 Inspection,S5 Inspection,Schools - S5,05/06/2024,04/07/2024,Yes,100006.0,2021100.0,Heath School,Pupil Referral Unit,Maintained school,2.0,,2.0,1.0,1.0,1.0,Yes,9.0,9.0,ITS439444,24/04/2014,21/05/2014,Yes,100006.0,2021100.0,Heath School,Pupil Referral Unit,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/100007,100007,2021101,Camden Primary Pupil Referral Unit,PRU,Pupil Referral Unit,,Not applicable,Not applicable,Does not apply,Does not apply,Non-faith,London,London,Camden,Holborn and St Pancras,,,,,NW1 3EX,,4.0,18.0,5,11,10289759.0,Yes,100007.0,2021101.0,Camden Primary Pupil Referral Unit,Pupil Referral Unit,2.0,27/09/2023,08/11/2023,No,School remains Good,,ITS447889,S5 Inspection,S5 Inspection,Schools - S5,26/03/2015,05/05/2015,Yes,100007.0,2021101.0,Camden Primary Pupil Referral Unit,Pupil Referral Unit,Maintained school,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,ITS376334,01/12/2011,06/01/2012,Yes,100007.0,2021101.0,Camden Primary Pupil Referral Unit,Pupil Referral Unit,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/100008,100008,2022019,Argyle Primary School,Primary,Community School,,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,London,London,Camden,Holborn and St Pancras,,,,,WC1H 9EG,,4.0,298.0,3,11,,,,,,,,,,,,,10240870,S5 Inspection,S5 Inspection,Schools - S5,04/10/2022,17/11/2022,Yes,100008.0,2022019.0,Argyle Primary School,Community School,Maintained school,2.0,,2.0,2.0,1.0,2.0,Yes,2.0,9.0,ITS448184,28/01/2015,26/02/2015,Yes,100008.0,2022019.0,Argyle Primary School,Community School,2.0,,9.0,9.0,9.0,2.0,9,2.0,9.0
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/100009,100009,2022036,West Hampstead Primary School,Primary,Community School,,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,London,London,Camden,Hampstead and Highgate,,,,,NW6 1QL,,4.0,397.0,3,11,10211247.0,Yes,100009.0,2022036.0,West Hampstead Primary School,Community School,2.0,23/03/2022,18/05/2022,No,School remains Good,,ITS376335,S5 Inspection,S5 Inspection,Schools - S5,10/07/2012,10/09/2012,Yes,100009.0,2022036.0,West Hampstead Primary School,Community School,Maintained school,2.0,,9.0,9.0,9.0,2.0,9,8.0,9.0,ITS307271,31/10/2007,15/11/2007,Yes,100009.0,2022036.0,West Hampstead Primary School,Community School,2.0,,9.0,9.0,9.0,2.0,9,2.0,9.0
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/100010,100010,2022065,Brecknock Primary School,Primary,Community School,,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,London,London,Camden,Holborn and St Pancras,,,,,NW1 9AL,,5.0,308.0,2,11,,,,,,,,,,,,,10255371,S5 Inspection,S5 Inspection,Schools - S5,07/03/2023,23/05/2023,Yes,100010.0,2022065.0,Brecknock Primary School,Community School,Maintained school,2.0,,2.0,2.0,2.0,2.0,Yes,2.0,9.0,ITS425590,19/11/2013,10/12/2013,Yes,100010.0,2022065.0,Brecknock Primary School,Community School,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/100011,100011,2022078,Brookfield Primary School,Primary,Community School,,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,London,London,Camden,Hampstead and Highgate,,,,,N19 5DH,,4.0,397.0,2,11,10289760.0,Yes,100011.0,2022078.0,Brookfield Primary School,Community School,2.0,20/09/2023,08/11/2023,No,School remains Good,,ITS439482,S5 Inspection,S5 Inspection,Schools - S5,05/06/2014,25/06/2014,Yes,100011.0,2022078.0,Brookfield Primary School,Community School,Maintained school,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0,ITS323210,17/06/2009,09/07/2009,Yes,100011.0,2022078.0,Brookfield Primary School,Community School,2.0,,9.0,9.0,9.0,2.0,9,2.0,9.0
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/100013,100013,2022184,Edith Neville Primary School,Primary,Community School,,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,London,London,Camden,Holborn and St Pancras,,,,,NW1 1HQ,,5.0,209.0,3,11,,,,,,,,,,,,,10287167,S5 Inspection,S5 Inspection,Schools - S5,14/06/2023,31/07/2023,Yes,100013.0,2022184.0,Edith Neville Primary School,Community School,Maintained school,1.0,,1.0,1.0,1.0,1.0,Yes,1.0,9.0,ITS440434,23/01/2014,27/02/2014,Yes,100013.0,2022184.0,Edith Neville Primary School,Community School,2.0,,9.0,9.0,9.0,2.0,9,9.0,9.0
http://reports.ofsted.gov.uk/inspection-reports/find-inspection-report/provider/ELS/100014,100014,2022219,Fleet Primary School,Primary,Community School,,Not applicable,Does not have a sixth form,Does not apply,Does not apply,Non-faith,London,London,Camden,Hampstead and Highgate,,,,,NW3 2QT,,4.0,229.0,3,11,10211268.0,Yes,100014.0,2022219.0,Fleet Primary School,Community School,2.0,06/10/2022,23/11/2022,No,School remains Good,,ITS376336,S5 Inspection,S5 Inspection,Schools - S5,02/02/2012,27/02/2012,Yes,100014.0,2022219.0,Fleet Primary School,Community School,Maintained school,2.0,,9.0,9.0,9.0,2.0,9,8.0,9.0,ITS285702,29/01/2007,14/02/2007,Yes,100014.0,2022219.0,Fleet Primary School,Community School,2.0,,9.0,9.0,9.0,2.0,9,1.0,9.0
